-79.958741938,-4.103641518
-79.958517661,-4.103763677
-79.958553568,-4.103694352
-79.958614362,-4.103585417
-79.958742432,-4.103457305
-79.958669371,-4.103449482
-79.958627553,-4.103425967
-79.958597872,-4.103403234
-79.958510702,-4.103391027
-79.958542987,-4.103286650
-79.958578561,-4.103225883
-79.958723619,-4.103699593
-79.958572568,-4.103547768
-79.958445959,-4.103520776
-79.958421755,-4.103570540
-79.958456257,-4.103563928
-79.958346486,-4.103691308
-79.958326188,-4.103742068
-79.958227535,-4.103649054
-79.958456872,-4.103017881
-79.958409363,-4.102999015
-79.958670265,-4.103751506
-79.958640172,-4.103803863
-79.958612731,-4.103861213
-79.958590216,-4.103916076
-79.958543960,-4.103984416
-79.958504269,-4.104097790
-79.958466838,-4.103808504
-79.958661794,-4.103658513
-79.958746272,-4.103569048
-79.958605358,-4.103745169
-79.958515510,-4.103899051
-79.958817740,-4.103612112
-79.959256477,-4.103918324
-79.959056683,-4.103484389
-79.958395383,-4.104010685
-79.959037185,-4.103950568
-79.958915603,-4.103503474
-79.958483692,-4.103898570
